,0,1,2
580,580,2009-09-25,maharashtra
581,581,2009-09-25,guntur
582,582,2009-09-25,kurnool
583,583,2009-09-25,anantapur
584,584,2009-09-25,khammam
585,585,2009-09-25,karimnagar
586,586,2009-09-25,mahbubnagar
587,587,2009-09-25,nalgonda
588,588,2009-10-09,meghalaya
589,589,2009-11-03,tamil nadu
590,590,2009-08-26,bihar
591,591,2009-08-26,purnia
592,592,2009-08-26,darbhanga
593,593,2010-07-05,haryana
594,594,2010-07-05,kerala
595,595,2010-07-05,punjab
596,596,2010-07-05,ambala
597,597,2010-05-18,andhra pradesh
598,598,2010-07-13,delhi
599,599,2010-08-06,jammu
600,600,2010-09-05,assam
601,601,2010-09-18,bihar
602,602,2010-09-18,uttar pradesh
603,603,2010-09-18,uttarakhand
604,604,2010-09-18,almora
605,605,2010-09-09,haryana
606,606,2010-09-09,punjab
607,607,2010-09-09,uttar pradesh
608,608,2010-11-15,tamil nadu
609,609,2010-11-15,chennai
610,610,2010-11-15,tirunelveli
611,611,2010-11-15,thoothukudi
612,612,2011-08-10,west bengal
613,613,2011-09-23,orissa
614,614,2011-09-23,cuttack
615,615,2011-09-23,sambalpur
616,616,2011-09-23,puri
617,617,2011-09-23,bhadrak
618,618,2011-09-23,jajpur
619,619,2011-08-15,assam
620,620,2011-08-15,meghalaya
621,621,2011-08-15,assam
622,622,2011-08-15,bihar
623,623,2011-08-15,uttar pradesh
624,624,2011-08-15,jorhat
625,625,2011-08-15,nagaon
626,626,2011-08-15,patna
627,627,2011-08-15,bhagalpur
628,628,2011-08-15,muzaffarpur
629,629,2011-08-15,purnia
630,630,2011-08-15,begusarai
631,631,2011-08-15,katihar
632,632,2011-08-15,hisar
633,633,2011-08-15,sagar
634,634,2011-08-15,bongaigaon
635,635,2011-08-15,nagaon
636,636,2011-08-15,jorhat
637,637,2011-08-15,kanpur
638,638,2011-08-15,meerut
639,639,2011-08-15,bareilly
640,640,2011-08-15,aligarh
641,641,2011-08-15,moradabad
642,642,2011-07-23,rajasthan
643,643,2011-07-23,uttar pradesh
644,644,2011-09-05,orissa
645,645,2011-06-15,uttar pradesh
646,646,2011-06-15,uttarakhand
647,647,2012-06-26,arunachal pradesh
648,648,2012-06-26,assam
649,649,2012-06-26,una
650,650,2012-08-21,arunachal pradesh
651,651,2012-08-21,rajasthan
652,652,2012-08-21,una
653,653,2012-08-21,jaipur
654,654,2012-08-21,bikaner
655,655,2012-08-21,sikar
656,656,2012-08-21,tonk
657,657,2012-08-04,himachal pradesh
658,658,2012-08-04,jammu
659,659,2012-08-04,uttar pradesh
660,660,2012-08-04,uttarakhand
661,661,2012-08-04,kullu
662,662,2012-08-04,moradabad
663,663,2012-09-16,uttarakhand
664,664,2012-09-19,arunachal pradesh
665,665,2012-09-19,assam
666,666,2012-09-19,bihar
667,667,2012-09-19,goa
668,668,2012-09-19,sikkim
669,669,2012-09-19,uttar pradesh
670,670,2012-09-19,west bengal
671,671,2012-09-19,dibrugarh
672,672,2012-09-19,jorhat
673,673,2012-09-19,nagaon
674,674,2012-09-19,patna
675,675,2012-09-19,bhagalpur
676,676,2012-09-19,muzaffarpur
677,677,2012-09-19,darbhanga
678,678,2012-09-19,katihar
679,679,2012-09-19,una
680,680,2012-09-19,sagar
681,681,2012-09-19,bongaigaon
682,682,2012-09-19,nalbari
683,683,2012-09-19,nagaon
684,684,2012-09-19,tinsukia
685,685,2012-09-19,dibrugarh
686,686,2012-09-19,jorhat
687,687,2013-06-12,bihar
688,688,2013-06-12,gujarat
689,689,2013-06-12,himachal pradesh
690,690,2013-06-12,karnataka
691,691,2013-06-12,kerala
692,692,2013-06-12,uttar pradesh
693,693,2013-06-12,uttarakhand
694,694,2013-06-12,west bengal
695,695,2013-07-09,uttar pradesh
696,696,2013-06-23,assam
697,697,2013-06-23,jorhat
698,698,2013-06-23,nagaon
699,699,2013-06-23,karimganj
700,700,2013-06-23,kokrajhar
701,701,2013-06-23,bongaigaon
702,702,2013-06-23,nagaon
703,703,2013-06-23,tinsukia
704,704,2013-06-23,jorhat
705,705,2013-08-22,assam
706,706,2013-08-22,madhya pradesh
707,707,2013-08-22,uttar pradesh
708,708,2013-08-22,bhopal
709,709,2013-08-22,jabalpur
710,710,2013-10-21,andhra pradesh
711,711,2013-10-21,west bengal
712,712,2013-10-21,orissa
713,713,2014-06-26,assam
714,714,2014-07-16,himachal pradesh
715,715,2014-07-16,uttarakhand
716,716,2014-08-03,orissa
717,717,2014-09-24,assam
718,718,2014-09-24,goa
719,719,2014-09-24,meghalaya
720,720,2014-09-24,tura
721,721,2014-08-16,assam
722,722,2014-08-16,bihar
723,723,2014-08-16,uttar pradesh
724,724,2014-08-16,uttarakhand
725,725,2014-08-09,odisha
726,726,2015-03-20,jammu
727,727,2015-05-17,tamil nadu
728,728,2015-05-17,una
729,729,2015-06-19,gujarat
730,730,2015-06-19,maharashtra
731,731,2015-06-19,surat
732,732,2015-06-19,rajkot
733,733,2015-06-23,west bengal
734,734,2015-07-15,assam
735,735,2015-07-15,goa
736,736,2015-07-15,gujarat
737,737,2015-07-15,madhya pradesh
738,738,2015-07-15,manipur
739,739,2015-07-15,rajasthan
740,740,2015-07-15,west bengal
741,741,2015-07-15,orissa
742,742,2015-07-15,jorhat
743,743,2015-07-15,jorhat
744,744,2015-07-15,malda
745,745,2015-07-07,arunachal pradesh
746,746,2015-07-07,haryana
747,747,2015-07-07,himachal pradesh
748,748,2015-07-07,jammu
749,749,2015-07-07,punjab
750,750,2015-07-07,rajasthan
751,751,2015-07-07,uttar pradesh
752,752,2015-07-07,uttarakhand
753,753,2015-07-07,una
754,754,2015-08-13,assam
755,755,2015-08-28,assam
756,756,2015-08-28,goa
757,757,2015-08-28,dibrugarh
758,758,2015-08-28,jorhat
759,759,2015-08-28,sagar
760,760,2015-08-28,kokrajhar
761,761,2015-08-28,bongaigaon
762,762,2015-08-28,nalbari
763,763,2015-08-28,tinsukia
764,764,2015-08-28,dibrugarh
765,765,2015-08-28,jorhat
766,766,2015-07-14,arunachal pradesh
767,767,2015-07-14,assam
768,768,2015-07-14,una
769,769,2015-07-14,kokrajhar
770,770,2015-11-08,andhra pradesh
771,771,2015-11-08,tamil nadu
772,772,2015-11-08,puducherry
773,773,2015-11-08,nellore
774,774,2015-11-08,chennai
775,775,2016-04-22,arunachal pradesh
776,776,2016-04-22,assam
777,777,2016-04-22,nagaland
778,778,2016-04-22,una
779,779,2016-06-25,arunachal pradesh
780,780,2016-06-25,assam
781,781,2016-06-25,uttarakhand
782,782,2016-06-25,una
783,783,2016-07-28,assam
784,784,2016-07-28,goa
785,785,2016-07-28,jorhat
786,786,2016-07-28,bongaigaon
787,787,2016-07-28,nalbari
788,788,2016-07-28,jorhat
789,789,2016-07-15,uttar pradesh
790,790,2016-07-15,patna
791,791,2016-07-15,bhagalpur
792,792,2016-07-15,darbhanga
793,793,2016-07-15,begusarai
794,794,2016-07-15,katihar
795,795,2016-07-15,hisar
796,796,2016-07-15,ghaziabad
797,797,2016-07-15,varanasi
798,798,2016-07-15,allahabad
799,799,2016-07-09,madhya pradesh
800,800,2016-07-09,bhopal
801,801,2016-07-09,jabalpur
802,802,2016-07-09,sagar
803,803,2016-07-09,rewa
804,804,2016-07-09,satna
805,805,2016-08-01,gujarat
806,806,2016-08-01,maharashtra
807,807,2016-08-01,surat
808,808,2016-08-01,vadodara
809,809,2016-08-01,pune
810,810,2016-08-01,nashik
811,811,2016-08-01,kolhapur
812,812,2016-08-01,thane
813,813,2016-09-21,andhra pradesh
814,814,2016-09-21,telangana
815,815,2016-07-17,assam
816,816,2016-07-17,jorhat
817,817,2016-07-17,jorhat
818,818,2017-06-04,assam
819,819,2017-06-04,manipur
820,820,2017-06-04,nagaland
821,821,2017-06-04,karimganj
822,822,2017-06-01,gujarat
823,823,2017-06-25,assam
824,824,2017-06-25,goa
825,825,2017-06-25,dibrugarh
826,826,2017-06-25,jorhat
827,827,2017-06-25,nagaon
828,828,2017-06-25,karimganj
829,829,2017-06-25,sagar
830,830,2017-06-25,kokrajhar
831,831,2017-06-25,nalbari
832,832,2017-06-25,nagaon
833,833,2017-06-25,dibrugarh
834,834,2017-06-25,jorhat
835,835,2017-08-11,bihar
836,836,2017-08-11,uttar pradesh
837,837,2017-08-11,west bengal
838,838,2017-08-29,maharashtra
839,839,2017-08-29,mumbai
840,840,2017-08-29,thane
841,841,2017-10-30,tamil nadu
842,842,2017-08-16,uttar pradesh
843,843,2018-06-22,assam
844,844,2018-06-22,gujarat
845,845,2018-06-22,maharashtra
846,846,2018-05-17,tripura
847,847,2018-07-26,rajasthan
848,848,2018-07-26,uttar pradesh
849,849,2018-07-20,odisha
850,850,2018-08-07,assam
851,851,2018-08-07,himachal pradesh
852,852,2018-08-07,kerala
853,853,2018-08-07,maharashtra
854,854,2018-08-07,nagaland
855,855,2018-08-07,odisha
856,856,2018-08-07,uttar pradesh
