,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Event Source,Event Souce ID
4425,UEI-IMD-FL-2014-0018,2014-08-06,2014-08-08,3.0,heavy rains ,,Bilaspur and Mandi ,,,,,1,4,,,4 persons washed away in their car while other died in Mandi. ,IMD,
4426,UEI-IMD-FL-2014-0019,2014-08-13,2014-08-15,3.0,heavy rains ,,Hamirur and Mandi ,,,,,9,4,,,9 persons died in different incidents while 4 others washed away. ,IMD,
4427,UEI-IMD-FL-2014-0020,2014-01-22,2014-01-22,1.0,heavy rains,,Udhampur,,,,,2,,,,2 persons buried alive in a house collapse in Kud area.,IMD,
4428,UEI-IMD-FL-2014-0021,2014-07-24,2014-07-24,1.0,heavy rains ,,Jammu ,,,,,,,,,Many cattle heads,IMD,
4429,UEI-IMD-FL-2014-0022,2014-07-31,2014-07-31,1.0,heavy rains ,,Pulwama ,,,,,,,,,,IMD,
4430,UEI-IMD-FL-2014-0023,2014-09-08,2014-09-14,7.0,"flood (jehlum,chenab, tawi)",,"Most parts of Jammu & Kashmir (Worst affected districts Anantanag, Budgaum, Baramulla, Ganderbal, Kulgam, Poonch, Pulwama, Rajouri, Reasi and Srinagar. ",,,,,200,63,,"2,500","i) More than 200 people died including a bus carrying 63 passengers washed away in flash flood in Rajouri. ii) About 2,500 livestock perished. ",IMD,
4431,UEI-IMD-FL-2014-0024,2014-11-09,2014-11-09,1.0,heavy rains (cloudburst) ,,Anantanag ,,,,,,14,,,"14 persons injured in Patti Samdal village, Kokernag.",IMD,
4432,UEI-IMD-FL-2014-0025,2014-10-12,2014-10-14,3.0,heavy rains ,,Parts of Jharkhand ,,,,,,,,,Several persons injured. ,IMD,
4433,UEI-IMD-FL-2014-0026,2014-03-08,2014-03-10,3.0,heavy rains,,Belguam and Bijapur ,,,,,4,,,,Belguam : One woman died when a tree fell on her and other due to wall collapse. Bijapur: One person and a child died in Sindagi Tehsil due to wall collapse. ,IMD,
4434,UEI-IMD-FL-2014-0027,2014-05-19,2014-05-20,2.0,heavy rains ,,Chamarajnagar and Shimoga ,,,,,5,,,,5 persons including one woman died due to house collapse. ,IMD,
4435,UEI-IMD-FL-2014-0028,2014-06-02,2014-06-06,5.0,heavy rains ,,"Bellary, Gadag and Koppal ",,,,,1,,,,One woman died due to house collapse in Sandur Tehsil. One boy died in Gadag city and 3 others died when a tree and electric pole fell on them in Ganavathy town resp. ,IMD,
4436,UEI-IMD-FL-2014-0029,2014-06-28,2014-06-29,2.0,heavy rains ,,Banglore & Gadag ,,,,,2,,,,2 women died due to house collapse. ,IMD,
4437,UEI-IMD-FL-2014-0030,2014-07-04,2014-07-09,6.0,heavy rains ,,"Banglore Rural, Gadag, Haveri and Kolar ",,,,,4,1,,,4 persons died due to house collapse and other swept away. ,IMD,
4438,UEI-IMD-FL-2014-0031,2014-07-31,2014-07-31,1.0,heavy rains ,,Haveri and Uttara Kannada ,,,,,2,1,,,One man and a girl died in house collapse in Ranebennur town and other swept away in canal in Mundagod Tehsil resp. ,IMD,
4439,UEI-IMD-FL-2014-0032,2014-08-01,2014-08-08,8.0,heavy rains ,,"Chickmagalur, Dakshina Kannada, Dharwad, Raichur and Uttara Kannada. ",,,,,4,3,,,"One person swept away in Koppa Tehsil, 4 persons died due to wall collapse in Karkala & Hubli Tehsil, other swept away in Krishna river in Devadurga Tehsil and 2 persons swept away in Honavar and Joida Tehsil resp. ",IMD,
4440,UEI-IMD-FL-2014-0033,2014-08-23,2014-08-31,9.0,heavy rains ,,"Bidar, Bijapur, Chamarajanagar, Gadag, Gulbarga, Raichur, Tumkur and Yadgir. ",,,,,9,6,,,"2 persons died, 6 persons swept away, 7 others died due to house collapse. ",IMD,
4441,UEI-IMD-FL-2014-0034,2014-09-01,2014-09-01,1.0,heavy rains ,,Chitradurga ,,,,,1,,,,One woman died due to house collapse. ,IMD,
4442,UEI-IMD-FL-2014-0035,2014-09-02,2014-09-02,1.0,heavy rains ,,Gulbarga ,,,,,,1,,,One man swept away in canal in Sedam Tehsil. ,IMD,
4443,UEI-IMD-FL-2014-0036,2014-09-24,2014-09-24,1.0,heavy rains ,,Bellary ,,,,,1,,,,One man died due to house collapse in Kampli town.  ,IMD,
4444,UEI-IMD-FL-2014-0037,2014-10-01,2014-10-01,1.0,heavy rains ,,Tumkur,,,,,1,,,,One man died due to house collapse. ,IMD,
4445,UEI-IMD-FL-2014-0038,2014-10-05,2014-10-09,5.0,heavy rains ,,"Bengalur Urban, Chikmagalur and Dharwad ",,,,,2,3,,,"One girl and 2 women swept away in a canal in Bilekalli and Yegati village, other died due to house collapse in Begaluru city while one person died when a sheet of the bus stand roof fell on him in Navalgund town resp.",IMD,
4446,UEI-IMD-FL-2014-0039,2014-10-25,2014-10-25,1.0,heavy rains ,,Bellary ,,,,,,1,,,One person swept away in a canal. ,IMD,
4447,UEI-IMD-FL-2014-0040,2014-10-28,2014-10-28,1.0,heavy rains ,,Bengaluru Urban ,,,,,1,,,,One woman died due to house collapse. ,IMD,
4448,UEI-IMD-FL-2014-0041,2014-03-07,2014-03-09,3.0,heavy rains,,Wayanad ,,,,,,,,,,IMD,
4449,UEI-IMD-FL-2014-0042,2014-03-25,2014-03-25,1.0,heavy rains,,Wayanad ,,,,,,,,,,IMD,
4450,UEI-IMD-FL-2014-0043,2014-04-10,2014-04-16,7.0,heavy rains ,,"Alappuzha, Kasaragod, Kozhikode, Thiruvananthapuram, Thrissur and Wayanad ",,,,,6,,,,6 persons died including 2 children. ,IMD,
4451,UEI-IMD-FL-2014-0044,2014-04-19,2014-04-30,12.0,heavy rains ,,Thiruvananthapuram and Wayanad,,,,,,,,,,IMD,
